open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,open_time.1,open_time
2021-07-29 00:00:00+00:00,100.4,156.7,100.4,134.1,564263.578,1627603199999,73793613.9491,202834,288307.118,37861605.2994,0,,
2021-07-30 00:00:00+00:00,134.2,137.7,120.7,129.8,141011.202,1627689599999,18052440.8922,45486,64689.054,8297918.2318,0,,
2021-07-31 00:00:00+00:00,129.7,140.0,123.2,135.0,50786.29,1627775999999,6659156.4189,20268,24618.79,3224815.3849,0,,
2021-08-01 00:00:00+00:00,135.0,179.9,135.0,175.3,299545.806,1627862399999,49118598.8415,147427,156186.245,25609713.0887,0,,
2021-08-02 00:00:00+00:00,175.6,191.7,142.8,156.9,272290.646,1627948799999,44669373.7136,120613,134466.208,22142417.4729,0,,
2021-08-03 00:00:00+00:00,156.7,174.8,145.1,166.5,138504.517,1628035199999,22033991.6043,71607,74343.291,11878655.7553,0,,
2021-08-04 00:00:00+00:00,166.2,185.4,155.7,178.1,155560.27,1628121599999,26940624.3696,87888,83856.313,14532391.7261,0,,
2021-08-05 00:00:00+00:00,178.5,181.0,168.4,173.1,67287.184,1628207999999,11706751.9983,38495,33749.898,5878556.9965,0,,
2021-08-06 00:00:00+00:00,173.0,175.0,161.0,162.3,68934.455,1628294399999,11531263.3225,33121,30571.923,5119494.7115,0,,
2021-08-07 00:00:00+00:00,162.3,166.9,150.9,155.5,65704.328,1628380799999,10487152.1045,36981,27912.591,4463956.2779,0,,
2021-08-08 00:00:00+00:00,155.6,163.1,146.8,152.0,52705.647,1628467199999,8064389.108,26654,23906.285,3662064.1986,0,,
2021-08-09 00:00:00+00:00,152.1,166.8,142.4,151.8,72387.259,1628553599999,11176791.2004,37632,36109.906,5593487.5916,0,,
2021-08-10 00:00:00+00:00,151.8,165.4,149.1,153.1,54890.373,1628639999999,8441154.6214,30263,27484.285,4239519.2919,0,,
2021-08-11 00:00:00+00:00,153.0,165.0,152.9,154.7,44763.355,1628726399999,7087368.2769,24404,21703.483,3441179.7365,0,,
2021-08-12 00:00:00+00:00,154.6,157.2,145.0,150.9,42297.562,1628812799999,6402727.2766,19934,20737.082,3141822.8733,0,,
2021-08-13 00:00:00+00:00,150.6,159.9,147.4,153.8,30660.451,1628899199999,4766585.7973,15510,15325.674,2382100.6452,0,,
2021-08-14 00:00:00+00:00,153.8,159.9,150.0,150.8,30152.359,1628985599999,4613002.1334,12947,12621.74,1936203.5631,0,,
2021-08-15 00:00:00+00:00,150.5,166.6,146.3,165.0,49410.133,1629071999999,7594502.5535,19027,26838.452,4138027.5669,0,,
2021-08-16 00:00:00+00:00,164.9,165.0,149.5,153.2,49334.741,1629158399999,7706143.1947,20247,25874.208,4037955.3896,0,,
2021-08-17 00:00:00+00:00,152.9,168.0,149.2,165.2,57122.52,1629244799999,8996586.8819,26894,29265.865,4618020.7102,0,,
2021-08-18 00:00:00+00:00,165.2,202.9,165.1,182.8,293009.566,1629331199999,54429853.2573,156762,151915.992,28286074.3779,0,,
2021-08-19 00:00:00+00:00,183.1,190.0,177.8,178.5,69148.752,1629417599999,12693023.6075,38117,30090.222,5537926.5487,0,,
2021-08-20 00:00:00+00:00,178.5,196.1,178.2,192.3,50965.625,1629503999999,9658375.2122,29551,25014.968,4743286.2904,0,,
2021-08-21 00:00:00+00:00,192.2,195.1,183.5,186.7,30915.991,1629590399999,5825772.577,18375,13904.498,2623603.2504,0,,
2021-08-22 00:00:00+00:00,186.9,191.0,178.8,183.2,28296.859,1629676799999,5229948.3552,15669,11860.195,2192691.7124,0,,
2021-08-23 00:00:00+00:00,183.3,187.9,179.3,181.6,29432.219,1629763199999,5402310.7809,15711,12877.459,2367249.3636,0,,
2021-08-24 00:00:00+00:00,181.6,208.7,178.3,205.8,122145.097,1629849599999,23872546.411,61663,66647.674,13082067.3658,0,,
2021-08-25 00:00:00+00:00,205.8,213.3,187.6,194.4,89977.832,1629935999999,17835525.1371,50955,42088.103,8371192.1897,0,,
2021-08-26 00:00:00+00:00,194.2,200.8,182.6,186.1,39315.537,1630022399999,7388359.399,19406,18785.646,3530994.2968,0,,
2021-08-27 00:00:00+00:00,186.0,198.0,180.1,195.5,38601.869,1630108799999,7347122.9998,21338,20297.378,3860674.6105,0,,
2021-08-28 00:00:00+00:00,195.4,197.2,190.8,194.4,15422.62,1630195199999,2999335.3631,10087,6764.309,1316877.4957,0,,
2021-08-29 00:00:00+00:00,194.3,196.0,188.4,189.9,14132.292,1630281599999,2698553.1628,8816,6998.308,1336982.7193,0,,
2021-08-30 00:00:00+00:00,189.9,192.3,183.2,183.6,24422.234,1630367999999,4566800.9887,14214,11563.561,2162904.789,0,,
2021-08-31 00:00:00+00:00,183.6,188.4,176.1,182.0,40107.322,1630454399999,7355396.2031,21326,18084.157,3323305.4148,0,,
